"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
256,126,1,"29747",awang,2017-05-12 14:35:02,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC,PRODUCTIONmix EC
257,127,1,"29747",awang,2018-03-07 16:01:23,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,THERMAmix THX,THERMAmix THX
258,128,1,"29747",awang,2017-07-26 12:12:31,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SUPERLITEmix 1100X,SUPERLITEmix 1100X
259,129,1,"29747",awang,2018-01-16 16:10:07,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT (SK),EXPANDOmix PRO HT (SK)
260,130,1,"29747",awang,2018-01-16 16:09:43,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT (SK),EXPANDOmix PRO LT (SK)
261,131,1,"29747",awang,2017-08-29 11:18:54,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,LITEmix EC,LITEmix EC
262,132,1,"29747",awang,2018-01-16 16:08:57,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC (SK),PRODUCTIONmix EC (SK)
263,133,1,"29747",awang,2018-01-16 16:05:19,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW (SK),PRODUCTIONmix LW (SK)
264,134,1,"29747",awang,2017-08-29 11:19:44,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO HT,SUPERLITEmix PRO HT
265,135,1,"29747",awang,2017-08-30 12:04:53,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SUPERLITEmix 1160x,SUPERLITEmix 1160x
266,136,1,"29747",awang,2017-09-06 15:37:20,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,LDP-C-0517,LDP-C-0517
267,137,1,"29747",awang,2018-03-07 15:40:05,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,THERMAmix SLW,THERMAmix SLW
268,138,1,"29747",awang,2017-09-06 15:38:22,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,THERMAmix PRO,THERMAmix PRO
269,139,1,"29747",awang,2018-02-21 11:03:29,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO SL (SK),SURFACEmix LW PRO SL (SK)
270,140,1,"29747",awang,2018-03-07 16:34:47,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SURFACEmix THX,SURFACEmix THX
271,141,1,"29747",awang,2018-03-20 15:21:24,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO X,SUPERLITEmix PRO X
