"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","IsThirdPartyProvided","IsFreightCostIncluded","PriceCode","InventoryNumber"
154,144,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO HT ,SUPERLITEmix PRO HT ,0,0,113107,""
155,145,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO ,SUPERLITEmix PRO ,0,0,113087,""
156,146,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix LW (SK) ,SURFACEmix LW (SK) ,0,0,113404,""
157,147,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO ,SURFACEmix LW PRO ,0,0,116016,""
158,148,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO (SK) ,SURFACEmix LW PRO (SK) ,0,0,116016,""
159,149,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix PRO,SURFACEmix PRO,0,0,113403,""
160,150,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix PRO SL,SURFACEmix PRO SL,0,0,113436,""
161,151,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SURFACEmix SLW,SURFACEmix SLW,0,0,113406,""
162,152,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SurfLite (SK) ,SurfLite (SK) ,0,0,113004,""
163,153,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Thermal 40,Thermal 40,0,0,113060,IIN023570
164,154,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Thermal 40 EXP,Thermal 40 EXP,0,0,113062,""
165,155,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,THERMAmix EC,THERMAmix EC,0,0,114717,""
166,156,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,THERMAmix LT,THERMAmix LT,0,0,116414,""
168,157,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,ThixLite HT (AB) ,ThixLite HT (AB) ,0,0,113026,""
