"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","BlendChemicalName","Abbreviation","BlendRecipeName","BlendRecipeDescription","BlendChemicalDescription","IsBaseBlend","BlendRecipeId","AdditionMethod","UnitSystemId","AdditiveBlendMethod","UnitId","UnitDescription","UnitName","BlendChemicalSystemId","BlendRecipeSystemId","BlendChemicalId","Amount"
197,193,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,56,,,Intercem,%,PRODUCTIONmix 1600,,"",1,56,2,81,1,1,,Percent,4,56,4,713.00
205,201,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,57,,,Intercem,%,PRODUCTIONmix 1600 (SK),,"",1,57,2,81,1,1,,Percent,4,57,4,713.00
251,247,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,70,,,Intercem,%,SSi,,"",1,70,2,81,1,1,,Percent,4,70,4,1000.00
236,232,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,64,,,Intercem,%,Proteus Core,,"",1,64,2,81,1,1,,Percent,4,64,4,769.00
238,234,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,65,,,Intercem,%,Proteus LCS,,"",1,65,2,81,1,1,,Percent,4,65,4,730.00
242,238,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,66,,,Intercem,%,Proteus Pro,,"",1,66,2,81,1,1,,Percent,4,66,4,747.00
269,265,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,75,,,Intercem,%,SURFACEmix LW (SK) ,,"",1,75,2,81,1,1,,Percent,4,75,4,714.00
156,152,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,49,,,CaCl2,%,LCS 1820,,"",0,49,2,81,1,1,,Percent,8,49,8,29.00
286,282,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,80,,,CDM-2,%,SURFACEmix SLW,,"",0,80,2,81,1,1,,Percent,11,80,12,142.00
322,318,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,90,,,CDM-2,%,LDP-C-0117,,"",0,90,2,81,1,1,,Percent,11,89,12,138.00
431,426,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,186,,,CDM-4,%,SUPERLITEmix 1100x,,"",0,186,2,81,1,1,,Percent,12,184,13,140.00
426,421,1,"0","",2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,184,,,CDM-4,%,SUPERLITEmix 1160x,,"",0,184,2,81,1,1,,Percent,12,182,13,102.00
439,434,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,190,,,CDM-4,%,THERMAmix SLW,,"",0,190,2,81,1,1,,Percent,12,188,13,72.00
435,430,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,188,,,CDM-4,%,LDP-C-0517,,"",0,188,2,81,1,1,,Percent,12,186,13,69.00
546,539,1,"0","",2018-09-28 18:10:56,1,2017-09-28 18:10:56,9999-12-31 23:59:59,0,238,,,CDM-4,%,SUPERLITEmix 1160 C,,"",0,238,2,81,1,1,,Percent,12,236,13,76.00
468,462,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,200,,,CDM-4,%,SUPERLITEmix PRO X,,"",0,200,2,81,1,1,,Percent,12,198,13,104.00
259,255,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,72,,,CDM-5,%,Superlite 13 (CDM-5),,"",0,72,2,81,1,1,,Percent,13,72,14,80.00
255,251,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,71,,,CDM-6B,%,Superlite 13,,"",0,71,2,81,1,1,,Percent,15,71,16,123.00
268,264,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,74,,,CDM-6B,%,SUPERLITEmix PRO ,,"",0,74,2,81,1,1,,Percent,15,74,16,230.00
264,260,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,73,,,CDM-6B,%,SUPERLITEmix PRO HT ,,"",0,73,2,81,1,1,,Percent,15,73,16,206.00
327,323,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,91,,,CDM-6B,%,SUPERLITEmix 1160,,"",0,91,2,81,1,1,,Percent,15,90,16,210.00
152,148,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,48,,,CDM-C,%,LCS 1600,,"",0,48,2,81,1,1,,Percent,16,48,18,100.00
148,144,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,47,,,CFL-3,%,iPrime (SK),,"",0,47,2,81,1,1,,Percent,18,47,20,4.00
202,198,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,56,,,CFL-3,%,PRODUCTIONmix 1600,,"",0,56,2,81,1,1,,Percent,18,56,20,5.00
215,211,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,58,,,CFL-3,%,PRODUCTIONmix 1725,,"",0,58,2,81,1,1,,Percent,18,58,20,5.00
210,206,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,57,,,CFL-3,%,PRODUCTIONmix 1600 (SK),,"",0,57,2,81,1,1,,Percent,18,57,20,5.00
194,190,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,55,,,CFL-3,%,PRODUCTIONmix 1500 PRO ,,"",0,55,2,81,1,1,,Percent,18,55,20,2.50
234,230,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,63,,,CFL-3,%,PRODUCTIONmix THX ,,"",0,63,2,81,1,1,,Percent,18,63,20,5.00
143,139,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,46,,,CFL-3,%,iPrime (AB),,"",0,46,2,81,1,1,,Percent,18,46,20,4.00
136,132,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,45,,,CFL-3,%,iGain (AB),,"",0,45,2,81,1,1,,Percent,18,45,20,3.00
126,122,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,43,,,CFL-3,%,iBond,,"",0,43,2,81,1,1,,Percent,18,43,20,3.00
116,112,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,41,,,CFL-3,%,Expandomix LWL,,"",0,41,2,81,1,1,,Percent,18,41,20,2.50
111,107,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,,,CFL-3,%,Expandomix HT (SK),,"",0,40,2,81,1,1,,Percent,18,40,20,5.00
105,101,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,39,,,CFL-3,%,Expandomix HT,,"",0,39,2,81,1,1,,Percent,18,39,20,5.00
306,302,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,87,,,CFL-3,%,ThixLite HT (AB) ,,"",0,87,2,81,1,1,,Percent,18,86,20,8.00
313,309,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,88,,,CFL-3,%,ThixLite HT (SK) ,,"",0,88,2,81,1,1,,Percent,18,87,20,8.00
462,456,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,198,,,CFL-3,%,SURFACEmix THX,,"",0,198,2,81,1,1,,Percent,18,196,20,5.00
120,116,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,42,,,CFR,%,Glacial Mix,,"",0,42,2,81,1,1,,Percent,24,42,26,5.00
110,106,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,,,CFR-2,%,Expandomix HT (SK),,"",0,40,2,81,1,1,,Percent,25,40,27,5.00
104,100,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,39,,,CFR-2,%,Expandomix HT,,"",0,39,2,81,1,1,,Percent,25,39,27,5.00
273,269,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,75,,,CFR-2,%,SURFACEmix LW (SK) ,,"",0,75,2,81,1,1,,Percent,25,75,27,5.00
209,205,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,57,,,CFR-2,%,PRODUCTIONmix 1600 (SK),,"",0,57,2,81,1,1,,Percent,25,57,27,2.50
201,197,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,56,,,CFR-2,%,PRODUCTIONmix 1600,,"",0,56,2,81,1,1,,Percent,25,56,27,2.50
453,448,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,194,,,CFR-2,%,SURFACEmix LW PRO SL (SK),,"",0,194,2,81,1,1,,Percent,25,192,27,1.50
447,442,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,89,,,CFR-2,%,SURFACEmix LW PRO SL,,"",0,89,2,81,1,1,,Percent,25,88,27,1.50
498,492,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,212,,,CFR-2,%,SURFACEmix LW PRO GP,,"",0,212,2,81,1,1,,Percent,25,210,27,1.50
505,499,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,214,,,CFR-2,%,SURFACEmix LW PRO RD,,"",0,214,2,81,1,1,,Percent,25,212,27,1.50
491,485,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,210,,,CFR-2,%,SURFACEmix LW PRO ED,,"",0,210,2,81,1,1,,Percent,25,208,27,1.50
147,143,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,47,,,CFR-5,%,iPrime (SK),,"",0,47,2,81,1,1,,Percent,26,47,28,1.00
125,121,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,43,,,CFR-5,%,iBond,,"",0,43,2,81,1,1,,Percent,26,43,28,1.00
