ID,SYSTEM_ID,Version,MODIFIED_USER_ID,MODIFIED_USER_NAME,MODIFIED_DATE_TIME,OPERATION_TYPE,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,ENTITY_STATUS,InventoryNumber,SbsReleaseProductId,PriceUnit,UnitId,Price,ServicePoint
146,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023073,,1,mt,241.99,D617
147,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,220,D600
148,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,230,D602
149,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,245.13,D603
150,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,260.94,D604
151,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,234.41,D606
152,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,241.89,D607
153,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,229,D612
154,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,239.21,D615
155,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,230.91,D616
156,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,236.82,D617
157,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023074,,1,mt,231,D618
158,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023079,,1,kg,13.21,D603
159,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023082,,1,l,5.66,D604
160,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023082,,1,l,6.25,D616
161,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023083,,1,l,5.26,D604
162,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023084,,1,l,6.24,D616
163,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D600
164,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.11,D602
165,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D603
166,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D604
167,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D606
168,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D607
169,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D612
170,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.44,D615
171,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D616
172,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.1,D617
173,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023085,,1,l,4.16,D618
174,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.1,D602
175,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.11,D603
176,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.13,D604
177,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.11,D606
178,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.11,D607
179,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.1,D612
180,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.16,D615
181,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023091,,1,kg,0.13,D617
182,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.78,D602
183,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.76,D603
184,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.77,D604
185,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.77,D606
186,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.77,D607
187,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.75,D612
188,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.78,D615
189,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023099,,1,kg,0.75,D616
