"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION","PriceCode","ISFREIGHTCOSTINCLUDED","ISTHIRDPARTYPROVIDED","INVENTORYNUMBER","SbsReleasedProductId"
157,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix LW PRO ,SURFACEmix LW PRO ,116016,0,0,,""
158,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix LW PRO (SK) ,SURFACEmix LW PRO (SK) ,116016,0,0,,""
159,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix PRO,SURFACEmix PRO,113403,0,0,,""
160,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix PRO SL,SURFACEmix PRO SL,113436,0,0,,""
161,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix SLW,SURFACEmix SLW,113406,0,0,,""
162,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SurfLite (SK) ,SurfLite (SK) ,113004,0,0,,""
163,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Thermal 40,Thermal 40,113060,0,0,IIN023570,""
164,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Thermal 40 EXP,Thermal 40 EXP,113062,0,0,,""
165,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,THERMAmix EC,THERMAmix EC,114717,0,0,,""
166,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,THERMAmix LT,THERMAmix LT,116414,0,0,,""
168,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,ThixLite HT (AB) ,ThixLite HT (AB) ,113026,0,0,,""
169,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,ThixLite HT (SK) ,ThixLite HT (SK) ,113026,0,0,,""
