"ID","ROOT_ID","PARENT_ID","BLEND_CHEMICAL_ID","AMOUNT","IS_BASE_BLEND","ADDITION_METHOD","ADDITIVE_BLEND_METHOD","UNIT_NAME","UNIT_ABBR","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_CHEMICAL_NAME"
"129","44","44","36","197.5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7070000","1","2017/9/28 18:10:50.7070000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"130","44","44","41","11","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7130000","1","2017/9/28 18:10:50.7130000","9999/12/31 23:59:59.9970000","GSS-1"
"131","44","44","67","11","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7200000","1","2017/9/28 18:10:50.7170000","9999/12/31 23:59:59.9970000","SCA-1"
"132","44","44","71","22.5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7300000","1","2017/9/28 18:10:50.7300000","9999/12/31 23:59:59.9970000","SG1500 AP1"
"133","45","45","4","727.5","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7430000","1","2017/9/28 18:10:50.7430000","9999/12/31 23:59:59.9970000","Intercem"
"134","45","45","35","218","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7500000","1","2017/9/28 18:10:50.7500000","9999/12/31 23:59:59.9970000","Flyash"
"135","45","45","41","8","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7600000","1","2017/9/28 18:10:50.7600000","9999/12/31 23:59:59.9970000","GSS-1"
"136","45","45","20","3","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7770000","1","2017/9/28 18:10:50.7770000","9999/12/31 23:59:59.9970000","CFL-3"
"137","45","45","69","14.5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7900000","1","2017/9/28 18:10:50.7900000","9999/12/31 23:59:59.9970000","SCA-6"
"138","45","45","68","29","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7970000","1","2017/9/28 18:10:50.7970000","9999/12/31 23:59:59.9970000","SCA-5"
"139","46","46","4","760","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8130000","1","2017/9/28 18:10:50.8130000","9999/12/31 23:59:59.9970000","Intercem"
"140","46","46","35","225","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8330000","1","2017/9/28 18:10:50.8330000","9999/12/31 23:59:59.9970000","Flyash"
"141","46","46","67","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8400000","1","2017/9/28 18:10:50.8400000","9999/12/31 23:59:59.9970000","SCA-1"
"142","46","46","28","1","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8470000","1","2017/9/28 18:10:50.8430000","9999/12/31 23:59:59.9970000","CFR-5"
"143","46","46","20","4","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8500000","1","2017/9/28 18:10:50.8500000","9999/12/31 23:59:59.9970000","CFL-3"
"144","47","47","4","760","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8730000","1","2017/9/28 18:10:50.8730000","9999/12/31 23:59:59.9970000","Intercem"
"145","47","47","36","225","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8800000","1","2017/9/28 18:10:50.8800000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"146","47","47","67","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8900000","1","2017/9/28 18:10:50.8900000","9999/12/31 23:59:59.9970000","SCA-1"
"147","47","47","28","1","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.8970000","1","2017/9/28 18:10:50.8970000","9999/12/31 23:59:59.9970000","CFR-5"
