"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"107","2:1:0 'G' + Additives","1","0","","2018/9/28 18:10:53.2870000","1","2017/9/28 18:10:53.2870000","9999/12/31 23:59:59.9970000"
"108","2:1:12 'G' + Additives","1","0","","2018/9/28 18:10:53.3030000","1","2017/9/28 18:10:53.3000000","9999/12/31 23:59:59.9970000"
"109","2:1:2 'G' + Additives","1","0","","2018/9/28 18:10:53.3300000","1","2017/9/28 18:10:53.3300000","9999/12/31 23:59:59.9970000"
"110","2:1:4 'G' + Additives","1","0","","2018/9/28 18:10:53.4170000","1","2017/9/28 18:10:53.4170000","9999/12/31 23:59:59.9970000"
"111","2:1:6 'G' + Additives","1","0","","2018/9/28 18:10:53.4570000","1","2017/9/28 18:10:53.4570000","9999/12/31 23:59:59.9970000"
"112","2:1:8 'G' + Additives","1","0","","2018/9/28 18:10:53.4730000","1","2017/9/28 18:10:53.4700000","9999/12/31 23:59:59.9970000"
"113","1:1:0 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.4870000","1","2017/9/28 18:10:53.4870000","9999/12/31 23:59:59.9970000"
"114","1:1:12 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5100000","1","2017/9/28 18:10:53.5100000","9999/12/31 23:59:59.9970000"
"115","1:1:2 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5230000","1","2017/9/28 18:10:53.5230000","9999/12/31 23:59:59.9970000"
"116","1:1:4 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5400000","1","2017/9/28 18:10:53.5400000","9999/12/31 23:59:59.9970000"
"117","1:1:6 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5530000","1","2017/9/28 18:10:53.5530000","9999/12/31 23:59:59.9970000"
"118","1:1:8 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5670000","1","2017/9/28 18:10:53.5670000","9999/12/31 23:59:59.9970000"
"119","2:1:0 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5800000","1","2017/9/28 18:10:53.5800000","9999/12/31 23:59:59.9970000"
"120","2:1:12 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.5970000","1","2017/9/28 18:10:53.5970000","9999/12/31 23:59:59.9970000"
"121","2:1:2 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.6100000","1","2017/9/28 18:10:53.6100000","9999/12/31 23:59:59.9970000"
"122","2:1:4 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.6270000","1","2017/9/28 18:10:53.6270000","9999/12/31 23:59:59.9970000"
"123","2:1:6 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.6400000","1","2017/9/28 18:10:53.6400000","9999/12/31 23:59:59.9970000"
"124","2:1:8 'G' (Sask) + Additives","1","0","","2018/9/28 18:10:53.6600000","1","2017/9/28 18:10:53.6600000","9999/12/31 23:59:59.9970000"
"125","Expandomix + Additives","1","0","","2018/9/28 18:10:53.6730000","1","2017/9/28 18:10:53.6730000","9999/12/31 23:59:59.9970000"
"126","EXPANDOmix PRO HT + Additives","1","0","","2018/9/28 18:10:53.6870000","1","2017/9/28 18:10:53.6870000","9999/12/31 23:59:59.9970000"
"127","EXPANDOmix PRO LT + Additives","1","0","","2018/9/28 18:10:53.7000000","1","2017/9/28 18:10:53.7000000","9999/12/31 23:59:59.9970000"
"128","Expandomix HT + Additives","1","0","","2018/9/28 18:10:53.7170000","1","2017/9/28 18:10:53.7130000","9999/12/31 23:59:59.9970000"
"129","Expandomix LWL + Additives","1","0","","2018/9/28 18:10:53.7300000","1","2017/9/28 18:10:53.7300000","9999/12/31 23:59:59.9970000"
"130","EXPANDOmix PRO HT (Sask) + Additives","1","0","","2018/9/28 18:10:53.7470000","1","2017/9/28 18:10:53.7470000","9999/12/31 23:59:59.9970000"
"131","EXPANDOmix PRO LT (Sask) + Additives","1","0","","2018/9/28 18:10:53.7930000","1","2017/9/28 18:10:53.7930000","9999/12/31 23:59:59.9970000"
"132","Expandomix HT (SK) + Additives","1","0","","2018/9/28 18:10:53.8430000","1","2017/9/28 18:10:53.8400000","9999/12/31 23:59:59.9970000"
"133","Glacial Mix + Additives","1","0","","2018/9/28 18:10:53.8600000","1","2017/9/28 18:10:53.8600000","9999/12/31 23:59:59.9970000"
"134","iBond + Additives","1","0","","2018/9/28 18:10:53.8770000","1","2017/9/28 18:10:53.8770000","9999/12/31 23:59:59.9970000"
"135","ASC IV + Additives","1","0","","2018/9/28 18:10:53.8930000","1","2017/9/28 18:10:53.8930000","9999/12/31 23:59:59.9970000"
"136","iGain (SK) + Additives","1","0","","2018/9/28 18:10:53.9070000","1","2017/9/28 18:10:53.9030000","9999/12/31 23:59:59.9970000"
"137","iGain (AB) + Additives","1","0","","2018/9/28 18:10:53.9200000","1","2017/9/28 18:10:53.9200000","9999/12/31 23:59:59.9970000"
"138","iPrime (AB) + Additives","1","0","","2018/9/28 18:10:53.9330000","1","2017/9/28 18:10:53.9330000","9999/12/31 23:59:59.9970000"
"139","iPrime (SK) + Additives","1","0","","2018/9/28 18:10:53.9470000","1","2017/9/28 18:10:53.9470000","9999/12/31 23:59:59.9970000"
"140","LCS 1600 + Additives","1","0","","2018/9/28 18:10:53.9630000","1","2017/9/28 18:10:53.9630000","9999/12/31 23:59:59.9970000"
"141","LCS 1820 + Additives","1","0","","2018/9/28 18:10:53.9770000","1","2017/9/28 18:10:53.9770000","9999/12/31 23:59:59.9970000"
"142","LITEmix 1325 (AB) + Additives","1","0","","2018/9/28 18:10:53.9900000","1","2017/9/28 18:10:53.9900000","9999/12/31 23:59:59.9970000"
"143","LITEmix 1325 (SK) + Additives","1","0","","2018/9/28 18:10:54.0000000","1","2017/9/28 18:10:54.0000000","9999/12/31 23:59:59.9970000"
"144","LITEmix 1400 (AB) + Additives","1","0","","2018/9/28 18:10:54.0170000","1","2017/9/28 18:10:54.0170000","9999/12/31 23:59:59.9970000"
