"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"1000474","159","5","Type III Cement","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000475","160","5","100% Flyash","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000476","161","5","15% Class H / 85% Poz (5-1-0 H)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000477","162","5","35% Class G / 65% Poz (2-1-0 G)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000478","163","5","35% Type III / 65% Poz (2-1-0 Type III)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000479","164","5","50% Class A / 50% Poz (1-1-0 A)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000481","166","5","50% Class H / 50% Poz (1-1-0 H)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000482","167","5","50% Class III / 50% Poz (1-1-0 III)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000483","168","5","65% Class C / 35% Poz (1-2-0 Class C)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000484","169","5","65% Class G / 35% Poz (1-2-0 G)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000485","170","5","65% Class H / 35% Poz (1-2-0 H)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000486","171","5","65% Type III / 35% Poz (1-2-0 Type III)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000487","172","5","75% Class H / 25% Poz (1-3-0 H)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000488","173","5","85% Class A / 15% Poz (1-5-0 A)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000490","175","5","Control Set C Plus","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000491","176","5","LiteFill","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000492","177","5","SanLead","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000493","178","5","SanLead WB","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000494","180","5","Williston Basin Light","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000495","181","5","Williston Basin Light II","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000497","183","5","SanTail 13 and 13.5","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000498","184","5","Thermal 40 Thix","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000499","185","5","Micromix","","1","1000342","pdoeleman","2014/11/6 13:57:24.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000633","186","5","0:1:6 'G'","A","0","15112","Awang","2017/2/15 12:49:05.4910000","0","2001/1/1 00:00:00.0000000","9999/12/31 00:00:00.0000000"
