"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"261","Sil 4","","265","Sil 4","","","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:43.9870000","1","2017/9/28 18:10:43.9870000","9999/12/31 23:59:59.9970000","",""
"262","SUPERLITEmix 1160x","","266","SUPERLITEmix 1160x","184","SUPERLITEmix 1160x","1","265","SUPERLITEmix 1160x","0","","","1.522020857","","2.143617377","1160","1","","42","1","0","","2018/9/28 18:10:47.0130000","1","2017/9/28 18:10:47.0130000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"263","SUPERLITEmix 1160x + Additives","","267","SUPERLITEmix 1160x + Additives","185","SUPERLITEmix 1160x + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0200000","1","2017/9/28 18:10:47.0200000","9999/12/31 23:59:59.9970000","",""
"264","SUPERLITEmix 1100x","","268","SUPERLITEmix 1100x","186","SUPERLITEmix 1100x","1","258","SUPERLITEmix 1100X","0","","","1.522020857","","2.143617377","1160","1","","42","1","0","","2018/9/28 18:10:47.0300000","1","2017/9/28 18:10:47.0300000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"265","SUPERLITEmix 1100x + Additives","","269","SUPERLITEmix 1100x + Additives","187","SUPERLITEmix 1100x + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0400000","1","2017/9/28 18:10:47.0370000","9999/12/31 23:59:59.9970000","",""
"266","LDP-C-0517","","270","LDP-C-0517","188","LDP-C-0517","1","266","LDP-C-0517","0","","","1.722","","1.198","1350","1","","30","1","0","","2018/9/28 18:10:47.0470000","1","2017/9/28 18:10:47.0470000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"267","LDP-C-0517 + Additives","","271","LDP-C-0517 + Additives","189","LDP-C-0517 + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0570000","1","2017/9/28 18:10:47.0570000","9999/12/31 23:59:59.9970000","",""
"268","THERMAmix SLW","","272","THERMAmix SLW","190","THERMAmix SLW","1","267","THERMAmix SLW","0","","","1.779","","1.251","1350","1","","30","1","0","","2018/9/28 18:10:47.0670000","1","2017/9/28 18:10:47.0630000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"269","THERMAmix SLW + Additives","","273","THERMAmix SLW + Additives","191","THERMAmix SLW + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0730000","1","2017/9/28 18:10:47.0730000","9999/12/31 23:59:59.9970000","",""
"270","THERMAmix PRO","","274","THERMAmix PRO","192","THERMAmix PRO","1","268","THERMAmix PRO","0","","","2.795","","0.918","1700","1","","30","1","0","","2018/9/28 18:10:47.0830000","1","2017/9/28 18:10:47.0830000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
