"ID","NAME","DESCRIPTION","INVENTORY_NUMBER","PRICE_CODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"129","LCS 1600","LCS 1600","","113070","1","0","","2018/9/28 18:10:39.2330000","1","2017/9/28 18:10:39.2200000","9999/12/31 23:59:59.9970000"
"130","LCS 1820","LCS 1820","","113072","1","0","","2018/9/28 18:10:39.2430000","1","2017/9/28 18:10:39.2430000","9999/12/31 23:59:59.9970000"
"131","LITEmix 1325 (AB)","LITEmix 1325 (AB)","","114709","1","0","","2018/9/28 18:10:39.2500000","1","2017/9/28 18:10:39.2500000","9999/12/31 23:59:59.9970000"
"132","LITEmix 1325 (SK)","LITEmix 1325 (SK)","","114709","1","0","","2018/9/28 18:10:39.2600000","1","2017/9/28 18:10:39.2570000","9999/12/31 23:59:59.9970000"
"133","LITEmix 1400 (AB)","LITEmix 1400 (AB)","","114715","1","0","","2018/9/28 18:10:39.2670000","1","2017/9/28 18:10:39.2670000","9999/12/31 23:59:59.9970000"
"134","LITEmix 1400 (SK)","LITEmix 1400 (SK)","","114715","1","0","","2018/9/28 18:10:39.2770000","1","2017/9/28 18:10:39.2730000","9999/12/31 23:59:59.9970000"
"135","LITEmix EC","LITEmix EC","","114707","1","0","","2018/9/28 18:10:39.2830000","1","2017/9/28 18:10:39.2800000","9999/12/31 23:59:59.9970000"
"136","PRODUCTIONmix 1500 PRO ","PRODUCTIONmix 1500 PRO ","","113409","1","0","","2018/9/28 18:10:39.2900000","1","2017/9/28 18:10:39.2900000","9999/12/31 23:59:59.9970000"
"137","PRODUCTIONmix 1600","PRODUCTIONmix 1600","","116020","1","0","","2018/9/28 18:10:39.3000000","1","2017/9/28 18:10:39.3000000","9999/12/31 23:59:59.9970000"
"138","PRODUCTIONmix 1600 (SK)","PRODUCTIONmix 1600 (SK)","","116020","1","0","","2018/9/28 18:10:39.3070000","1","2017/9/28 18:10:39.3070000","9999/12/31 23:59:59.9970000"
