ID,NAME,RIG_NO,RIG_SIZE_TYPE_CAT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,THREAD_TYPE_ID,THREAD_TYPE_NAME,THREAD_TYPE_CATEGORY,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
184,Sandy Ross Well Servicing Ltd. 10,10,56,1,,30059,Sandy Ross Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
185,Savanna Drilling 118,118,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
186,Savanna Drilling 122,122,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
187,Savanna Drilling 419,419,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
188,Savanna Drilling 420,420,56,2,Single,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
189,Savanna Drilling 422,422,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
190,Savanna Drilling 425,425,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
191,Savanna Drilling 426,426,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
192,Savanna Drilling 428,428,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
193,Savanna Drilling 436,436,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
194,Savanna Drilling 440,440,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
195,Savanna Drilling 603,603,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
196,Savanna Drilling 616,616,56,3,Double,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
197,Savanna Drilling 623,623,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
198,Savanna Drilling 629,629,56,3,Double,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
199,Savanna Drilling 631,631,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
200,Savanna Drilling 634,634,56,3,Double,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
201,Savanna Drilling 636,636,56,1,,30147,Savanna Drilling,0,0,0,0,,,,,,,,,,,,
202,Savanna Drilling 638,638,56,1,,30147,Savanna Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
